hex,name,pinyin
#C4CBCF,大理石灰,dalishihui
#1177B0,牵牛花蓝,qianniuhualan
#2486B9,宝石蓝,baoshilan
#5E7987,淡蓝灰,danlanhui
#74787A,嫩灰,nenhui
#CDD1D3,银鱼白,yinyubai
#1781B5,釉蓝,youlan
#66A9C9,涧石蓝,jianshilan
#D0DFE6,远天蓝,yuantianlan
#2F90B9,云山蓝,yunshanlan
#8ABCD1,秋波蓝,qiubolan
#C3D7DF,井天蓝,jingtianlan
#158BB8,鸢尾蓝,yuanweilan
#D8E3E7,云峰白,yunfengbai
#B2BBBE,星灰,xinghui
#1A94BC,钴蓝,gulan
#5CB3CC,碧青,biqing
#134857,苍蓝,canglan
#132C33,深灰蓝,shenhuilan
#21373D,灰蓝,huilan
#B0D5DF,湖水蓝,hushuilan
#22A2C3,海青,haiqing
#474B4C,黄昏灰,huanghunhui
#63BBD0,霁青,jiqing
#126E82,玉鈫蓝,yuqinlan
#0F95B0,胆矾蓝,danfanlan
#1491A8,樫鸟蓝,jianniaolan
#C7D2D4,鸥蓝,oulan
#1E9EB3,翠蓝,cuilan
#3B818C,蜻蜓蓝,qingtinglan
#0EB0C9,孔雀蓝,kongquelan
#29B7CB,蔚蓝,weilan
#51C4D3,瀑布蓝,pubulan
#7CABB1,闪蓝,shanlan
#10AEC2,甸子蓝,dianzilan
#648E93,晚波蓝,wanbolan
#93D5DC,清水蓝,qingshuilan
#617172,夏云灰,xiayunhui
#C6E6E8,海天蓝,haitianlan
#869D9D,虾壳青,xiakeqing
#57C3C2,石绿,shilv
#C4D7D6,穹灰,qionghui
#12AA9C,美蝶绿,meidielv
#737C7B,垩灰,ehui
#12A182,蓝绿,lanlv
#1BA784,竹绿,zhulv
#428675,亚丁绿,yadinglv
#C0C4C3,月影白,yueyingbai
#248067,海王绿,haiwanglv
#1A3B32,深海绿,shenhailv
#314A43,绿灰,lvhui
#2C9678,青矾绿,qingfanlv
#223E36,苍绿,canglv
#497568,飞泉绿,feiquanlv
#141E1B,莽丛绿,mangconglv
#69A794,梧枝绿,wuzhilv
#2BAE85,铜绿,tonglv
#9ABEAF,草原远绿,caoyuanyuanlv
#45B787,蛙绿,walv
#92B3A5,浪花绿,langhualv
#1F2623,苷蓝绿,ganlanlv
#83CBAC,粉绿,fenlv
#70887D,淡绿灰,danlvhui
#55BB8A,麦苗绿,maimiaolv
#20A162,翠绿,cuilv
#40A070,葱绿,conglv
#1A6840,荷叶绿,heyelv
#61AC85,淡绿,danlv
#68B88E,田园绿,tianyuanlv
#A4CAB6,玉簪绿,yuzanlv
#3C9566,蟾绿,chanlv
#5DBE8A,蔻梢绿,koushaolv
#207F4C,薄荷绿,bohelv
#EEF7F2,月白,yuebai
#579572,蛋白石绿,danbaishilv
#B9DEC9,竹篁绿,zhuhuanglv
#229453,孔雀绿,kongquelv
#20894D,宫殿绿,gongdianlv
#15231B,云杉绿,yunshanlv
#66C18C,毛绿,maolv
#A4ACA7,冰山蓝,bingshanlan
#8A988E,明灰,minghui
#9ECCAB,明绿,minglv
#83A78D,松霜绿,songshuanglv
#485B4D,白屈菜绿,baiqucailv
#5D655F,狼烟灰,langyanhui
#6E8B74,瓦松绿,wasonglv
#2B312C,槲寄生绿,hujishenglv
#C6DFC8,淡翠绿,dancuilv
#41B349,玉髓绿,yusuilv
#43B244,鲜绿,xianlv
#253D24,油绿,youlv
#41AE3C,宝石绿,baoshilv
#ADD5A2,嘉陵水绿,jialingshuilv
#5E665B,田螺绿,tianluolv
#8CC269,水绿,shuilv
#5BAE23,鹦鹉绿,yingwulv
#DFECD5,艾背绿,aibeilv
#CAD3C3,艾绿,ailv
#9FA39A,镍灰,niehui
#B2CF87,橄榄石绿,ganlanshilv
#96C24E,芽绿,yalv
#F0F5E5,嫩菊绿,nenjulv
#B7D07A,芦苇绿,luweilv
#D0DEAA,姚黄,yaohuang
#373834,蒽油绿,enyoulv
#BACF65,苹果绿,pingguolv
#E2E7BF,海沬绿,haimeilv
#BEC936,橄榄黄绿,ganlanhuanglv
#D2D97A,槐花黄绿,huaihuahuanglv
#E2D849,蝶黄,diehuang
#FFFEF8,象牙白,xiangyabai
#5E5314,橄榄绿,ganlanlv
#FFFEF9,雪白,xuebai
#AD9E5F,淡灰绿,danhuilv
#FED71A,佛手黄,foshouhuang
#F9F4DC,乳白,rubai
#E4BF11,香蕉黄,xiangjiaohuang
#D2B116,新禾绿,xinhelv
#FBDA41,油菜花黄,youcaihuahuang
#EED045,秋葵黄,qiukuihuang
#F1CA17,柚黄,youhuang
#D2B42C,草黄,caohuang
#F2CE2B,硫华黄,liuhuahuang
#E2C027,姜黄,jianghuang
#645822,潭水绿,tanshuilv
#FCD217,金瓜黄,jinguahuang
#F8DF70,麦秆黄,maiganhuang
#DFC243,蒿黄,haohuang
#F8DF72,茉莉黄,molihuang
#FFD111,藤黄,tenghuang
#DDC871,芒果黄,mangguohuang
#FFFEFA,海参灰,haishenhui
#867018,碧螺春绿,biluochunlv
#887322,苔绿,tailv
#FCD337,柠檬黄,ningmenghuang
#8E804B,草灰绿,caohuilv
#FECC11,向日葵黄,xiangrikuihuang
#FCCB16,素馨黄,suxinhuang
#FFC90C,乳鸭黄,ruyahuang
#B7AE8F,月灰,yuehui
#F8D86A,葵扇黄,kuishanhuang
#FBCD31,大豆黄,dadouhuang
#FCC307,金盏黄,jinzhanhuang
#E9DDB6,菊蕾白,juleibai
#FCC515,黄连黄,huanglianhuang
#F7E8AA,杏仁黄,xingrenhuang
#E8B004,谷黄,guhuang
#F9C116,木瓜黄,muguahuang
#F9D770,淡茧黄,danjianhuang
#FBC82F,雅梨黄,yalihuang
#F1F0ED,银白,yinbai
#5B4913,棕榈绿,zonglvlv
#F6C430,鹦鹉冠黄,yingwuguanhuang
#B78D12,枯绿,kulv
#F9BD10,浅烙黄,qianlaohuang
#F9D367,淡密黄,danmihuang
#D9A40E,芥黄,jiehuang
#EBB10D,栀子黄,zhizihuang
#584717,暗海水绿,anhaishuilv
#F7DE98,篾黄,miehuang
#F9F1DB,蚌肉白,bangroubai
#F4CE69,炒米黄,chaomihuang
#FEBA07,琥珀黄,hupohuang
#8A6913,灰绿,huilv
#876818,粽叶绿,zongyelv
#B6A476,尘灰,chenhui
#FCB70A,鼬黄,youhuang
#F0D695,象牙黄,xiangyahuang
#87723E,鲛青,jiaoqing
#F8E8C1,豆汁黄,douzhihuang
#D6A01D,土黄,tuhuang
#F7DA94,香水玫瑰黄,xiangshuimeiguihuang
#EAAD1A,虎皮黄,hupihuang
#FBB612,鸡蛋黄,jidanhuang
#B5AA90,银鼠灰,yinshuhui
#F7F4ED,鱼肚白,yudubai
#F8BC31,初熟杏黄,chushuxinghuang
#B78B26,山鸡黄,shanjihuang
#E5D3AA,莲子白,lianzibai
#695E45,蟹壳灰,xiekehui
#E5B751,沙石黄,shashihuang
#F3BF4C,甘草黄,gancaohuang
#685E48,燕羽灰,yanyuhui
#FBB929,鹅掌黄,ezhanghuang
#F9D27D,麦芽糖黄,maiyatanghuang
#E2C17C,浅驼色,qiantuose
