on,en,cn,src,cpt,ver,num,rsrc
Psycho-Pass 2,,心理测量者2,Psycho-Pass 2,op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1308566206
,,,,ed,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1308574025
Psycho-Pass: Sinners of the System,,心理测量者：系统的罪人,[Moozzi2] Psycho-Pass Sinners of the System - Movie + SP,op,,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1882307389
,,,,op,,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1882325768
,,,,op,,03,https://steamcommunity.com/sharedfiles/filedetails/?id=1882310588
カイバ,Kaiba,海马,[RH] Kaiba [BDRip] [Hi10] [1080p],op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1234156449
,,,,ed,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1240441927
,,,,ed,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1240447487
ワイトアルバム,White Album,白色相薄,[Moozzi2] White Album S1 - TV + SP,col,,,https://steamcommunity.com/sharedfiles/filedetails/?id=1088166102
かんなぎ,Kannagi,神薙,[Moozzi2] Kannagi BD-BOX - TV + Special EP + SP,op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=2309560726
さよなら絶望先生,Sayonara Zetsubou Sensei,绝望先生,Zoku Sayonara Zetsubou Sensei,op,,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1467508004
,,,,ed,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1495747238
俗・さよなら絶望先生,Zoku Sayonara Zetsubou Sensei,俗・绝望先生,Zoku Sayonara Zetsubou Sensei BDMV,op,nc,e09,https://steamcommunity.com/sharedfiles/filedetails/?id=1495770502
,,,,ed,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1495879349
,,,,ed,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1495885632
,,,,ed,nc,03,https://steamcommunity.com/sharedfiles/filedetails/?id=1495889324
,,,,ed,nc,04,https://steamcommunity.com/sharedfiles/filedetails/?id=1495894357
懺・さよなら絶望先生,Zan Sayonara Zetsubou Sensei,忏・绝望先生,"Zan Sayonara ,Zetsubou Sensei",op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1861662485
,,,,ed,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1861665058
,,,,ed,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1861665651
,,,,ed,nc,03,https://steamcommunity.com/sharedfiles/filedetails/?id=1861667098
四畳半神話大系,The Tatami Galaxy,四叠半神话大系,[Reaktor] The Tatami Galaxy - Yojouhan Shinwa Taikei + Special [1080p][x265][10-bit],ed,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=2308542507
怪 ～ayakashi～,Ayakashi: Bake Neko,怪化猫,[MONONOKE+Ayakashi_Bakeneko][BDRip][1080P],op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1288977780
,,,[MONONOKE+Ayakashi_Bakeneko][BDRip][1080P],op,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1288986883
,,,,op,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1288992406
,,,,ed,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1288995686
,,,,menu,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1288999940
新世界より,From The New World,自新世界,[ANK-Raws] Shinsekai Yori (BDrip 1920x1080 x264 FLAC Hi10P),op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1865806553
とらドラ!,Toradora!,龙与虎,[Moozzi2] Toradora 10th Anniversary BD-BOX - TV + OVA,op,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=2642147926
To Love-Ru,,出包女王,[VCB-S&philosophy-raws][To LOVE-Ru Darkness],op,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1241952554
,,,,op,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1241959778
,,,,ed,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1241962887
,,,,ed,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1241968241
,,,,ed,nc,03,https://steamcommunity.com/sharedfiles/filedetails/?id=1241972636
サムライチャンプルー,Samurai Champloo,混沌武士,[Moozzi2] Samurai Champloo BD-BOX - TV + SP,op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1308897942
,,,,ed,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1308901153
亡念のザムド,Xam'd: Lost Memories,亡念的扎姆德,[Moozzi2] Xam'd Lost Memories - TV + SP,op,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1308548877
,,,,op,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1308551934
,,,,ed,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1308556861
,,,,ed,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1308558760
,,,,ed,nc,03,https://steamcommunity.com/sharedfiles/filedetails/?id=1308560657
キルラキル,KILL la KILL,斩服少女,キルラキル斩服少女KILL la KILL,op,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=2308558038
,,,キルラキル斩服少女KILL la KILL,op,nc,03,https://steamcommunity.com/sharedfiles/filedetails/?id=2308571498
Clannad,,,[Moozzi2] Clannad - TV + SP,op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=2397819225
,,,[Moozzi2] Clannad - TV + SP,ed,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=2397821780
Clannad After Story,,,[Moozzi2] Clannad After Story - TV + SP,op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=2397825563
,,,,ed,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=2397828398
,,,,ed,nc,03,https://steamcommunity.com/sharedfiles/filedetails/?id=2397834928
,,,,ed,nc,04,https://steamcommunity.com/sharedfiles/filedetails/?id=2397837550
,,,,ed,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=2397832408
まおゆう魔王勇者,Maoyuu Maou Yuusha,魔王勇者,[Moozzi2] Maoyuu Maou Yuusha - TV + SP,op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1865044757
,,,,ed,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1865047719
それでも町は廻っている,And Yet The Town Moves,女仆咖啡厅,[CASO][Soremachi],op,,,https://steamcommunity.com/sharedfiles/filedetails/?id=1242016330
,,,,ed,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1174604041
